dataset,apk,file_path,sha256,status,runtime_seconds,hardcoded_secrets_detected,network_issues_detected,cryptographic_issues_detected,report_path,error
Ghera,HttpConnection-MITM-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\HttpConnection-MITM-Lean\Secure\HttpConnection-MITM-Lean-secure.apk,e42668cf21a56a2e9d830e57d9dffad13bc30cf1fecfef42e73a114ed2e71fb8,completed,7.966,0,4,37,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\e42668cf21a56a2e9d830e57d9dffad13bc30cf1fecfef42e73a114ed2e71fb8\reports\report_HttpConnection-MITM-Lean-secure.json,
Ghera,JavaScriptExecution-CodeInjection-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\JavaScriptExecution-CodeInjection-Lean\Benign\JavaScriptExecution-CodeInjection-Lean-benign.apk,e1dc2b355da327d314c48de2227659392c610bde9b758e775e873e0a5ab45109,completed,8.123,0,3,36,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\e1dc2b355da327d314c48de2227659392c610bde9b758e775e873e0a5ab45109\reports\report_JavaScriptExecution-CodeInjection-Lean-benign.json,
Ghera,JavaScriptExecution-CodeInjection-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\JavaScriptExecution-CodeInjection-Lean\Secure\JavaScriptExecution-CodeInjection-Lean-secure.apk,53dd044a364b47414a3134b6d687991a78b6d46798bf583927d763f222d18116,completed,7.879,0,2,35,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\53dd044a364b47414a3134b6d687991a78b6d46798bf583927d763f222d18116\reports\report_JavaScriptExecution-CodeInjection-Lean-secure.json,
Ghera,UnsafeIntentURLImpl-InformationExposure-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\UnsafeIntentURLImpl-InformationExposure-Lean\Benign\UnsafeIntentURLImpl-InformationExposure-Lean-benign.apk,832b3bc958395cbe1a4987c3c419fec9725f5674ccad7567d7977c59314af0de,completed,7.830,0,4,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\832b3bc958395cbe1a4987c3c419fec9725f5674ccad7567d7977c59314af0de\reports\report_UnsafeIntentURLImpl-InformationExposure-Lean-benign.json,
Ghera,UnsafeIntentURLImpl-InformationExposure-Lean-malicious.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\UnsafeIntentURLImpl-InformationExposure-Lean\Malicious\UnsafeIntentURLImpl-InformationExposure-Lean-malicious.apk,837cd72790c8cc7fd4944e2d958fd5daa21d4faf70b76ce178781635a350f48c,completed,7.906,0,2,36,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\837cd72790c8cc7fd4944e2d958fd5daa21d4faf70b76ce178781635a350f48c\reports\report_UnsafeIntentURLImpl-InformationExposure-Lean-malicious.json,
Ghera,UnsafeIntentURLImpl-InformationExposure-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\UnsafeIntentURLImpl-InformationExposure-Lean\Secure\UnsafeIntentURLImpl-InformationExposure-Lean-secure.apk,b574a9c24ec43cc6d405b5bbb41e81ab29cba8fabefd83d75f11b4275ef4cbd3,completed,8.136,0,4,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\b574a9c24ec43cc6d405b5bbb41e81ab29cba8fabefd83d75f11b4275ef4cbd3\reports\report_UnsafeIntentURLImpl-InformationExposure-Lean-secure.json,
Ghera,WebView-CookieOverwrite-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebView-CookieOverwrite-Lean\Benign\WebView-CookieOverwrite-Lean-benign.apk,d2846c6dc04157de425db812f90f086706f9e734d9faeb2c41f4da0bd4fd7bb2,completed,8.644,0,5,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\d2846c6dc04157de425db812f90f086706f9e734d9faeb2c41f4da0bd4fd7bb2\reports\report_WebView-CookieOverwrite-Lean-benign.json,
Ghera,WebView-CookieOverwrite-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebView-CookieOverwrite-Lean\Secure\WebView-CookieOverwrite-Lean-secure.apk,411a184e6f37955edf2ec3a7ce741abe231e6dc423dae37a59e7650c139d870f,completed,8.683,0,5,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\411a184e6f37955edf2ec3a7ce741abe231e6dc423dae37a59e7650c139d870f\reports\report_WebView-CookieOverwrite-Lean-secure.json,
Ghera,WebView-NoUserPermission-InformationExposure-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebView-NoUserPermission-InformationExposure-Lean\Benign\WebView-NoUserPermission-InformationExposure-Lean-benign.apk,34f4d31c33f2c9979d12515fd9906afa6e4c1cf143ddbec6f4e921b0bb5adddf,completed,7.905,0,6,41,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\34f4d31c33f2c9979d12515fd9906afa6e4c1cf143ddbec6f4e921b0bb5adddf\reports\report_WebView-NoUserPermission-InformationExposure-Lean-benign.json,
Ghera,WebView-NoUserPermission-InformationExposure-Lean-secure.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebView-NoUserPermission-InformationExposure-Lean\Secure\WebView-NoUserPermission-InformationExposure-Lean-secure.apk,1ff0c80c432331a1ce26418d85dc28b1fa82f579f14469b896aed3f2f8f78213,completed,7.960,0,6,41,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\1ff0c80c432331a1ce26418d85dc28b1fa82f579f14469b896aed3f2f8f78213\reports\report_WebView-NoUserPermission-InformationExposure-Lean-secure.json,
Ghera,WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-benign.apk,C:\Users\HP\Desktop\phd\ghera apks\Web\WebViewAllowContentAccess-UnauthorizedFileAccess-Lean\Benign\WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-benign.apk,fdb64b9ba3ab5c8d8754d0cbbaaa86d5fdef50a1b6825bb65007a23e3fb92d60,completed,8.093,0,4,38,C:\Users\HP\Desktop\phd\mobilesec\backend\ml-model\experiments\apkdeeplens_tool_reports\fdb64b9ba3ab5c8d8754d0cbbaaa86d5fdef50a1b6825bb65007a23e3fb92d60\reports\report_WebViewAllowContentAccess-UnauthorizedFileAccess-Lean-benign.json,
