dataset,apk,scan_id,runtime_seconds,export_time_seconds,cpu_percent,ram_mb,apk_size_bytes,export_bytes_total,concurrency,throughput_apks_per_minute,report_success,pdf_success,json_success,sarif_success
DroidBench,RegisterGlobal1.apk,7e2fd332-2007-483b-97b7-ebf6a7925214,4.830,2.325,71.39,244.65,197116,77418,1,6.705631466708791,true,true,true,true
DroidBench,RegisterGlobal2.apk,fafae27c-5385-45b1-adbb-6d1a65824e4d,4.786,2.338,203.03,292.23,196823,77513,1,6.705631466708791,true,true,true,true
DroidBench,Unregister1.apk,81824268-e0ee-4f7b-9dcd-f53d1896c5ff,4.767,2.32,71.34,247.01,196873,77419,1,6.705631466708791,true,true,true,true
DroidBench,ContentProvider1.apk,b3e1c78c-071f-4cd9-8f94-d64e76f9b288,9.615,2.313,66.24,244.24,801487,77419,1,6.705631466708791,true,true,true,true
DroidBench,IMEI1.apk,4dd1825f-5e9b-486a-9b73-339f72e35cf5,10.186,2.307,75.87,247.17,800913,77208,1,6.705631466708791,true,true,true,true
DroidBench,PlayStore1.apk,2170e189-cece-41a9-b23c-4a38e521c75c,10.132,2.35,76.30,253.39,801237,77098,1,6.705631466708791,true,true,true,true
DroidBench,FieldSensitivity1.apk,3de0ccb2-981d-4790-8d6b-e225dc47bd3e,5.204,2.313,189.12,301.66,179589,77208,1,6.705631466708791,true,true,true,true
DroidBench,FieldSensitivity2.apk,b3b9b43e-6b34-4533-851a-97fb508f586f,4.438,2.297,203.26,306.33,179429,77101,1,6.705631466708791,true,true,true,true
DroidBench,FieldSensitivity3.apk,81dd4ff7-f1fb-4198-af27-510ce04e8260,4.664,2.271,58.67,257.65,178971,77205,1,6.705631466708791,true,true,true,true
DroidBench,FieldSensitivity4.apk,f75b140b-b0a3-4b2c-9078-518a76aae1a8,4.537,2.295,166.75,304.34,178956,77417,1,6.705631466708791,true,true,true,true
DroidBench,InheritedObjects1.apk,159e80ce-9566-4983-be47-31dd3a98f155,4.850,2.309,60.62,247.37,179041,77208,1,6.705631466708791,true,true,true,true
DroidBench,ObjectSensitivity1.apk,ec6b212d-6c92-44cc-8619-3fd7a60b9b30,4.572,2.294,202.63,310.04,178858,77105,1,6.705631466708791,true,true,true,true
DroidBench,ObjectSensitivity2.apk,b0096f81-67f1-4107-9aab-e24eb38d0fa1,4.776,2.342,61.25,249.71,178835,76814,1,6.705631466708791,true,true,true,true
DroidBench,Clone1.apk,330599ac-1b58-4802-86b2-aa1270304d6f,2.152,2.314,,,36658,77423,1,6.705631466708791,true,true,true,true
DroidBench,Exceptions1.apk,76a0d5ac-637d-409e-8a89-6bca88fc2cce,5.131,2.299,66.13,266.46,196476,77518,1,6.705631466708791,true,true,true,true
DroidBench,Exceptions2.apk,8d7ce8b0-99f9-4b1d-8308-ef4c47e0b866,4.828,2.338,180.15,306.78,196551,77142,1,6.705631466708791,true,true,true,true
DroidBench,Exceptions3.apk,c2b531da-7185-4be0-abd0-dea14e220997,4.914,2.304,197.31,312.86,196530,77211,1,6.705631466708791,true,true,true,true
DroidBench,Exceptions4.apk,4c4eb891-9554-42aa-8c87-beb6901243ab,4.760,2.308,72.01,263.02,196503,77140,1,6.705631466708791,true,true,true,true
DroidBench,FactoryMethods1.apk,78dc977e-1b2e-4579-9932-79c6824e9eb4,4.746,2.28,64.94,264.76,196655,76815,1,6.705631466708791,true,true,true,true
DroidBench,Loop1.apk,0fbd54c6-1d3e-4625-bf91-0cabbb536904,4.896,2.311,128.64,310.54,178798,77239,1,6.705631466708791,true,true,true,true
DroidBench,Loop2.apk,0b0ed512-5c3b-4b68-b483-152f6bce55bc,4.520,2.321,190.57,309.76,178823,77422,1,6.705631466708791,true,true,true,true
DroidBench,Serialization1.apk,e03c87e2-e46c-475b-9516-39e5ef6e471d,2.303,2.298,75.63,269.18,37040,77142,1,6.705631466708791,true,true,true,true
DroidBench,SourceCodeSpecific1.apk,f264ee72-3a08-4982-aa6f-56244295bf16,4.776,2.302,173.27,313.12,178956,76817,1,6.705631466708791,true,true,true,true
DroidBench,StartProcessWithSecret1.apk,136cfe31-b5db-49b1-aaee-6a7e78804cba,2.051,2.301,,,36674,76815,1,6.705631466708791,true,true,true,true
DroidBench,StaticInitialization1.apk,033a27cc-66a1-4a4d-9fa6-64adb0a3c4d8,4.703,2.293,70.04,267.98,178716,76923,1,6.705631466708791,true,true,true,true
DroidBench,StaticInitialization2.apk,0c877818-3af2-477e-8fbf-292766409297,4.454,2.301,70.36,268.19,179214,77517,1,6.705631466708791,true,true,true,true
DroidBench,StaticInitialization3.apk,1dac860f-5fed-4654-9dba-65dde609f892,2.179,2.303,99.84,289.09,36621,77516,1,6.705631466708791,true,true,true,true
DroidBench,StringFormatter1.apk,8da86dc0-447c-4809-b686-57e032d5b32d,1.999,2.306,,,36725,77138,1,6.705631466708791,true,true,true,true
